Koch_group1	Koch_group2	Koch_group3	Koch_group4	Koch_group5
		TMEM88		URAD
		TNS1		USP44
		TREML2		USP51
		TRIB3		UST
		TRIM10		VANGL1
		TRMT2B		VSTM2B
		TSHZ2		WHRN
		TSPAN32		WNK2
		TSPAN33		WSCD1
		TSPAN4		YPEL1
		TUNAR		ZCCHC18
		TWIST1		ZFHX2
		TWIST2		ZFHX2OS
		UACA		ZFP169
		UBA7		ZFP595
		UBASH3B		ZFP94
		UBE2L6		ZGLP1
		UNC5C		ZIC2
		UROS		ZIC5
		USH1C		
		USP27X		
		VAMP8		
		VEGFC		
		WDR5B		
		WNK4		
		XK		
		ZC3HAV1		
		ZCCHC24		
		ZFHX4		
		ZFP235		
		ZFP286		
		ZFPM1		
